task_id,type,p16,W_policy,W_expert1,W_expert3,W_any
0,pick_cool_then_place_in_recep,1.0,True,True,True,True
1,pick_clean_then_place_in_recep,1.0,True,True,True,True
2,pick_two_obj_and_place,0.9375,True,False,False,True
3,pick_clean_then_place_in_recep,0.75,True,True,True,True
4,pick_two_obj_and_place,1.0,True,False,False,True
5,pick_two_obj_and_place,0.875,True,False,False,True
6,pick_clean_then_place_in_recep,0.6875,True,True,True,True
7,pick_and_place_simple,1.0,True,True,True,True
8,pick_clean_then_place_in_recep,1.0,True,True,True,True
9,look_at_obj_in_light,1.0,True,True,True,True
10,pick_heat_then_place_in_recep,0.125,True,True,True,True
11,pick_cool_then_place_in_recep,0.1875,True,True,True,True
12,pick_two_obj_and_place,0.875,True,True,True,True
13,pick_clean_then_place_in_recep,0.9375,True,True,True,True
14,look_at_obj_in_light,0.375,True,True,True,True
15,pick_cool_then_place_in_recep,1.0,True,True,True,True
16,pick_two_obj_and_place,0.75,True,True,True,True
17,pick_clean_then_place_in_recep,1.0,True,True,True,True
18,pick_heat_then_place_in_recep,0.0,False,True,True,True
19,pick_heat_then_place_in_recep,0.0625,True,True,True,True
20,pick_clean_then_place_in_recep,0.8125,True,True,True,True
21,pick_and_place_simple,0.1875,True,True,True,True
22,pick_two_obj_and_place,0.8125,True,False,False,True
23,pick_two_obj_and_place,0.9375,True,True,True,True
24,pick_cool_then_place_in_recep,1.0,True,True,True,True
25,look_at_obj_in_light,1.0,True,True,True,True
26,pick_cool_then_place_in_recep,0.4375,True,True,True,True
27,pick_cool_then_place_in_recep,0.5,True,True,True,True
28,pick_cool_then_place_in_recep,0.875,True,True,True,True
29,pick_clean_then_place_in_recep,1.0,True,True,True,True
