task_id,type,expert_plan_len,W_base,W_reason,within_policy_cap,p5,p11,p16,n_base,accepted,n_attempts,skipped,p5_H,accepted_H,n_attempts_H,skipped_H
0,pick_cool_then_place_in_recep,7,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,True,2,False
1,pick_clean_then_place_in_recep,12,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,True,5,False
2,pick_two_obj_and_place,50,False,verifier_fail,False,1.0,0.9091,0.9375,16,False,0,True,1.0,True,2,False
3,pick_clean_then_place_in_recep,15,True,pass,True,0.6,0.8182,0.75,16,True,2,False,0.8,True,3,False
4,pick_two_obj_and_place,50,False,verifier_fail,False,1.0,1.0,1.0,16,False,0,True,1.0,True,4,False
5,pick_two_obj_and_place,50,False,verifier_fail,False,0.6,1.0,0.875,16,True,2,False,1.0,True,3,False
6,pick_clean_then_place_in_recep,11,True,pass,True,0.6,0.7273,0.6875,16,True,1,False,0.8,True,1,False
7,pick_and_place_simple,7,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,False,5,False
8,pick_clean_then_place_in_recep,7,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,False,5,False
9,look_at_obj_in_light,5,True,pass,True,1.0,1.0,1.0,16,False,0,True,0.8,False,5,False
10,pick_heat_then_place_in_recep,39,True,pass,True,0.2,0.0909,0.125,16,False,0,True,0.0,True,3,False
11,pick_cool_then_place_in_recep,16,True,pass,True,0.2,0.1818,0.1875,16,True,1,False,0.2,False,5,False
12,pick_two_obj_and_place,44,True,pass,True,1.0,0.8182,0.875,16,False,0,True,1.0,True,5,False
13,pick_clean_then_place_in_recep,24,True,pass,True,1.0,0.9091,0.9375,16,False,0,True,1.0,False,5,False
14,look_at_obj_in_light,28,True,pass,True,0.4,0.3636,0.375,16,False,5,False,0.0,True,2,False
15,pick_cool_then_place_in_recep,31,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,True,2,False
16,pick_two_obj_and_place,36,True,pass,True,0.8,0.7273,0.75,16,False,0,True,1.0,True,3,False
17,pick_clean_then_place_in_recep,29,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,False,0,True
18,pick_heat_then_place_in_recep,14,True,pass,True,0.0,0.0,0.0,16,False,0,True,0.0,True,1,False
19,pick_heat_then_place_in_recep,20,True,pass,True,0.0,0.0909,0.0625,16,False,0,True,0.2,True,5,False
20,pick_clean_then_place_in_recep,8,True,pass,True,0.8,0.8182,0.8125,16,False,0,True,1.0,True,3,False
21,pick_and_place_simple,6,True,pass,True,0.0,0.2727,0.1875,16,False,5,False,0.0,True,4,False
22,pick_two_obj_and_place,50,False,verifier_fail,False,0.8,0.8182,0.8125,16,False,0,True,0.6,False,5,False
23,pick_two_obj_and_place,12,True,pass,True,0.8,1.0,0.9375,16,False,0,True,0.8,True,5,False
24,pick_cool_then_place_in_recep,34,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,False,5,False
25,look_at_obj_in_light,24,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,False,5,False
26,pick_cool_then_place_in_recep,9,True,pass,True,0.6,0.3636,0.4375,16,False,0,True,0.2,True,1,False
27,pick_cool_then_place_in_recep,8,True,pass,True,0.2,0.6364,0.5,16,True,2,False,0.4,True,2,False
28,pick_cool_then_place_in_recep,16,True,pass,True,0.8,0.9091,0.875,16,False,0,True,1.0,False,5,False
29,pick_clean_then_place_in_recep,10,True,pass,True,1.0,1.0,1.0,16,False,0,True,1.0,False,5,False
