arm,task_id,candidate_id,axis,hooks,A_uses_regex,A_blocked_literals,A_n_literals,A_returns_Blocked,T_uses_random,T_numeric_literals,T_nothing_happens,T_edits_text,O_masked_literals,O_n_literals,O_touches_admissible,O_uses_regex,S0_n_actions,S0_verbs,numeric_params,has_tunable_param,SR_c,decision,intent
released,3,ce56e429,T,modify_transition,False,,0,False,True,0.08,True,True,,0,False,False,0,,0.08,True,0.6,reject,"Baseline SR=0.60 with failures showing the Policy getting stuck in navigation loops (bouncing between countertop 1 and garbagecan 1) and repeatedly failing to pick up the egg (""Nothing happens"" becaus"
released,3,cc5fb2a9,T,modify_transition,False,,0,False,True,0.08,True,True,,0,False,False,0,,0.08,True,0.8,accept,"Baseline SR is 0.60 (3/5), within the target band but with a clear failure mode: the failed trajectories show the Policy getting stuck in a navigation loop between garbagecan 1 and countertop 1, repea"
released,5,012a645b,T,modify_transition,False,,0,False,True,0.08,True,True,,0,False,False,0,,0.08,True,0.6,reject,"Baseline SR is 0.60 and the failed trajectory shows the Policy getting stuck in a loop: it re-opens drawer 1, picks up keychain 1, moves it back to drawer 1, closes, then repeats — never actually fetc"
released,5,c166a9a6,S0,,False,,0,False,False,,False,False,,0,False,False,5,go open put take,,False,1.0,accept,"Baseline SR=0.60, in target band"
released,6,2ff9228a,S0,,False,,0,False,False,,False,False,,0,False,False,2,examine go,,False,1.0,accept,"Baseline SR is 0.60 (3/5), so this task is TARGET-eligible"
released,11,6c1e0a48,S0,,False,,0,False,False,,False,False,,0,False,False,1,open,,False,0.4,accept,"Baseline SR is 0.20 (1/5), below 0.6, so this is a TARGET task"
released,14,f51639ec,S0,,False,,0,False,False,,False,False,,0,False,False,5,close go put take,,False,0.4,reject,Baseline SR is 0.40 (2/5)
released,14,aa4518a0,S0,,False,,0,False,False,,False,False,,0,False,False,2,examine go,,False,0.0,reject,"Baseline SR is 0.40 (in the 0.0-0.6 target range), so this task is worth targeting"
released,14,a662199c,T,modify_transition,False,,0,False,True,0.08,True,True,,0,False,False,0,,0.08,True,0.4,reject,Baseline SR=0.40 (2/5)
released,14,fc52fa34,S0,,False,,0,False,False,,False,False,,0,False,False,4,go put take,,False,0.2,reject,Baseline SR is 0.40 (in target band per experiment instructions: 0.0 < sr < 0.6)
released,14,dd12e231,T,modify_transition,False,,0,False,True,2 0.08,True,True,,0,False,False,0,,2 0.08,True,0.2,reject,"Baseline SR=0.40 (2/5), within TARGET range [0.0, 0.6)"
released,21,6a973961,S0,,False,,0,False,False,,False,False,,0,False,False,6,open,,False,0.2,refine,"Baseline SR is 0.00 (0/5) — the Policy is stuck in a pick-up/put-down loop on the pen, never finding the pencil"
released,21,e6cd4dc4,S0,,False,,0,False,False,,False,False,,0,False,False,6,open,,False,0.2,refine,"Baseline SR is 0.00 and the Policy loops on the pen, never finding the pencil"
released,21,9c43cc5c,S0,,False,,0,False,False,,False,False,,0,False,False,7,go open put take,,False,0.2,refine,"Baseline SR=0.00, Policy loops picking up the pen instead of finding the pencil"
released,21,7dac1475,S0,,False,,0,False,False,,False,False,,0,False,False,6,open put take,,False,0.2,reject,Baseline SR=0.00; Policy loops picking up the pen instead of finding the pencil
released,21,505ec9bc,S0,,False,,0,False,False,,False,False,,0,False,False,2,put take,,False,0.2,reject,"Baseline SR is 0.0 with the Policy stuck in a loop: it repeatedly picks up and moves ""pen 1"" instead of the required ""pencil"""
released,27,7c179b47,S0,,False,,0,False,False,,False,False,,0,False,False,1,open,,False,1.0,reject,"Baseline SR is 0.20 (1/5), with the 4 failures all ending in ""Nothing happens"" loops (the Policy repeatedly issues an ineffective command and never recovers)"
released,27,185cb08b,S0,,False,,0,False,False,,False,False,,0,False,False,4,go open,,False,0.8,accept,"Baseline SR is 0.20 (1/5), so this is a TARGET task where the Policy is weak"
H,0,4d2e413d,T,modify_transition,False,,0,False,False,0 1 0,True,True,,0,False,False,0,,,False,0.6,refine,Baseline is 1.00 SR with 15.4 avg steps
H,0,320f421f,T,modify_transition,False,,0,False,False,0 1 0 20,True,True,,0,False,False,0,,20,True,0.8,accept,"The previous T-axis mutation (forcing one failed cool) dropped SR from 1.00 to 0.60, but two rollouts timed out at 50 steps — the Policy apparently got stuck retrying cool in a loop or lost its way"
H,1,86cb060a,O,filter_observation,False,,0,False,False,,False,False,admissible_commands,1,True,False,0,,2,True,1.0,reject,"Baseline SR=1.00, current accepted SR=0.80 (TOO EASY)"
H,1,d6e7996b,A,filter_action,False,text | do | cool | fridge | fridge 1 is closed | fridge 1 is closed | fridge must be opened before cooling,7,True,False,,False,False,,0,False,False,0,,,False,1.0,reject,Baseline SR is 1.00 and recent accepted candidate is at 0.80 (too easy)
H,1,53e168d9,S0,,False,,0,False,False,,False,False,,0,False,False,1,take,,False,1.0,reject,"Baseline SR is 1.00 (5/5), and recent accepted episodes show 0.80 — too easy"
H,1,1bb2ecca,A,filter_action,False,text | clean egg | sinkbasin | cool egg | fridge | fridge 1 is open | clean_retried | clean_retried | sink not ready yet; retry required | fridge must be opened before cooling,10,True,False,,False,False,,0,False,False,0,,,False,1.0,refine,"Baseline SR is 1.00 and the Policy solves this ""clean egg + put in fridge"" task in ~8 steps with a reliable fast path"
H,1,78db26fa,A,filter_action,False,text | clean egg | sinkbasin | clean_retries | cool egg | fridge | fridge 1 is open | clean_retries | sink not ready yet; retry required | fridge must be opened before cooling,10,True,False,,False,False,,0,False,False,0,,2,True,0.8,accept,The previous A-axis mutation only added 1 blocked step and SR stayed at 1.00 — the Policy recovered trivially from a single blocked command
H,2,51dfbe6f,T,modify_transition,False,,0,False,False,,True,True,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 1.00; current accepted mutations sit at 0.80, still above the [0.40,0.60] band"
H,2,3279820c,S0+O,filter_observation,False,,0,False,False,,False,False,You are carrying: | admissible_commands | look | inventory | examine,5,True,False,4,go open put take,6,True,0.4,accept,"Baseline SR is 1.00 and current accepted SR is 0.80, both above the [0.40,0.60] band"
H,3,b9c16c09,S0,,False,,0,False,False,,False,False,,0,False,False,2,put take,,False,0.2,reject,Baseline SR is 0.80 (too easy)
H,3,e3555e94,T,modify_transition,False,,0,False,False,8 2,False,True,,0,False,False,0,,8 2,True,0.8,reject,"Baseline SR is 0.80, recent accepted 0.67 — TOO EASY by a small margin (target 0.40-0.60)"
H,3,ff78d1aa,S0,,False,,0,False,False,,False,False,,0,False,False,1,take,,False,0.4,accept,"Baseline SR is 0.80; recent 15 accepted episodes show 0.67, still too easy by 0.07"
H,4,41d0ea39,T,modify_transition,False,,0,False,False,,False,False,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 1.00, but recent accepted episodes are at 0.60 (in band [0.40,0.60])"
H,4,1014adcf,T,modify_transition,False,,0,False,False,,True,True,,0,False,False,0,,,False,1.0,reject,Baseline SR is 1.00 and the current accepted candidate is already in band at 0.60
H,4,e499f77b,none,,False,,0,False,False,,False,False,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 1.00 with avg 24.8 steps, but the objective says recent accepted episodes are already at 0.60 in-band"
H,4,7752bf69,S0,,False,,0,False,False,,False,False,,0,False,False,6,close go open put take,,False,0.8,accept,Baseline SR=1.00 and recent traces show the Policy solving this task robustly with no-op/exploration mutations having no effect
H,5,ef9a6fd1,T,modify_transition,False,,0,False,False,3 5 0,True,True,,0,False,False,0,,3 5,True,1.0,reject,"The baseline Policy solves this task reliably (SR=1.00, ~28 steps)"
H,5,185ce75c,T,modify_transition,False,,0,False,False,0 4,True,True,,0,False,False,0,,4,True,0.8,reject,"Baseline SR is 1.00 and recent accepted episodes sit at 0.60, already in band"
H,5,e3e70a4a,T,modify_transition,False,,0,False,False,,True,True,,0,False,False,0,,,False,0.8,accept,Baseline SR is 1.00 with a clean 12-step fast path; recent traces show prior mutations landed at SR 0.60 (in band) but with desync_loop failures
H,6,7c1fa8d4,A,filter_action,False,text | clean | soapbar | only soapbar can be cleaned here,4,True,False,,False,False,,0,False,False,0,,,False,0.6,accept,Baseline SR is 0.80 and recent accepted episodes sit at 0.60 (in band)
H,7,e1d5baf3,A,filter_action,False,look | inventory | help | redundant exploration command blocked | text,5,True,False,,False,False,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 1.00; recent accepted episodes show SR 0.65, slightly too easy"
H,7,f97fab98,A+O,filter_action|filter_observation,False,do | text | move  | sidetable | examined | sidetable | examine the target before moving,7,True,False,,False,False,,0,False,False,0,,,False,0.0,reject,Baseline SR is 1.00 and the task is solved in ~12 steps via a simple locate-take-move path
H,7,323eae53,O,filter_observation,False,,0,False,False,,False,False,"statue | shelf | take statue | pick up | statue 3 | statue 2 | you see a statue 3 | you see a statue 2, and a statue 3 | take statue 3 | take statue 2, take statue 3",10,False,False,0,,,False,1.0,reject,"Baseline SR is 1.00 with a short 6-18 step solution; the objective wants SR down to [0.40,0.60]"
H,7,38db4481,A,filter_action,False,text | do | examine statue | examine statue disabled to stress focus,4,True,False,,False,False,,0,False,False,0,,,False,1.0,reject,Baseline SR is 1.00 and current accepted episodes are at 0.65 (too easy by 0.05)
H,7,080dbebe,A,filter_action,False,blocked_once | text | blocked_once | go to shelf 2 | blocked_once | blocked_once | transient navigation hiccup; re-issue command,7,True,False,,False,False,,0,False,False,0,,,False,1.0,reject,Baseline SR is 1.00 (too easy)
H,8,bb5c8108,A,filter_action,False,text | empty command blocked to force substantive action,2,True,False,,False,False,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 1.00 (too easy), and recent accepted episodes sit at 0.65, just above the [0.40,0.60] band"
H,8,0f30a784,O,filter_observation,False,,0,False,False,,False,False,admissible_commands | rng | rng | rng | admissible_commands | examine | help | inventory | look,9,True,False,0,,0.35 3 17 7919,True,1.0,reject,"Baseline SR is 1.00 (5/5) and recent accepted episodes show SR 0.65, just above the band"
H,8,fbeb88a2,T,modify_transition,False,,0,False,True,0 0.2 0 0 10 9,True,True,,0,False,False,0,,0.2 10 9,True,1.0,reject,Baseline SR is 1.00 and recent accepted episodes sit at 0.65 (just above band)
H,8,c6d1bb1c,T,modify_transition,False,,0,False,False,,True,True,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 1.00 (too easy), but recent accepted episodes average 0.65 with failures on S0 and T axes"
H,8,f8ceae28,O,filter_observation,False,,0,False,False,,False,False,"Nothing happens | Nothing happens.

",2,False,False,0,,3,True,1.0,reject,Baseline SR is 1.00 and recent accepted SR is 0.65 (just above the 0.40-0.60 band)
H,9,56803e98,A+T,filter_action|modify_transition,False,do | text | take alarmclock | use desklamp | used_lamp | alarmclock is not visible until the lamp is lit,6,True,False,,False,True,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 0.80 with a fast 8-step solution (navigate to shelf 2, take alarmclock 1, use desklamp)"
H,9,f0794d29,O,filter_observation,False,,0,False,False,,False,False,"nothing special about alarmclock | 
Hint: the alarmclock is under the desklamp; try using the desklamp.",2,False,False,0,,,False,1.0,reject,"Baseline SR is 0.80, and the failed rollout shows the Policy looping on shelf 2 while holding alarmclock 1, unable to recover"
H,9,3a9f0886,A,filter_action,False,do | text | last_action_text | last_was_ineffective | last_action_text | last_was_ineffective | repeat of ineffective action; try something else,7,True,False,,False,False,,0,False,False,0,,,False,1.0,reject,Baseline SR is 0.80 and the task is solvable
H,9,130c702f,T,modify_transition,False,,0,False,False,,True,True,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 0.80 and recent accepted episodes sit at 0.65 (just above the [0.40,0.60] band)"
H,9,8963805e,O,filter_observation,False,,0,False,False,,False,False,alarmclock | pick up | admissible_commands | admissible_commands | use desklamp,5,True,False,0,,,False,1.0,reject,"Baseline SR is 0.80, and recent accepted episodes show 0.65 (just above the 0.60 band top)"
H,10,9d3a3aea,O,filter_observation,False,,0,False,False,,False,False,admissible_commands | admissible_commands,2,True,False,0,,12 12,True,0.0,reject,"Baseline SR is 0.00 with the Policy emitting empty actions and flailing (picking up cup, moving to microwave, closing/reopening)"
H,10,636e4e15,O,filter_observation,False,,0,False,False,,False,False,"
Hint: issue a single valid command from the admissible list.",1,True,False,0,,,False,0.0,reject,"Baseline SR is 0.00 with the failure mode being `policy_emits_empty_actions` — the Policy is emitting empty <action></action> strings and never actually issuing commands, so it never even attempts the"
H,10,3485b59d,O,filter_observation,False,,0,False,False,,False,False,"] | 
[Goal reminder: ",2,False,False,0,,,False,0.4,accept,"Baseline SR is 0.0 with the Policy emitting empty actions (fail=policy_emits_empty_actions) — the Policy is stuck, not solving"
H,15,b56a1efc,T,modify_transition,False,,0,False,False,,False,True,,0,False,False,0,,,False,1.0,reject,"Baseline SR is 1.00 with ~22 steps, and the trajectory shows the Policy exploring many drawers/cabinets before finding the mug on countertop 1"
H,15,65718c65,A,filter_action,False,text | examine drawer | examine cabinet | examine on storage receptacles disabled,4,True,False,,False,False,,0,False,False,0,,,False,0.8,accept,"Baseline SR is 1.00 with ~22 steps, and the Policy explores many empty receptacles before finding the mug"
H,16,68f432b8,A,filter_action,True,do | text | take newspaper | blocked_take_count | blocked_take_count | take blocked once to force reexamine,6,True,False,,False,False,,0,False,False,0,,,False,0.8,refine,"Baseline SR is 1.00 and current accepted candidate is at 0.80, still too easy"
H,16,f9ac3ad5,A,filter_action,True,do | text | take newspaper | go to coffeetable | blocked_take_count | blocked_take_count | blocked_goto_count | take blocked to force reexamine | newspaper | blocked_goto_count | goto blocked once while carrying newspaper,11,True,False,,False,False,,0,False,False,0,,2,True,1.0,refine,"Current SR is 0.80, target band [0.40, 0.60]"
H,16,884a6d7a,O,filter_observation,False,,0,False,False,,False,False,injected_nothing | newspaper | injected_nothing | Nothing happens.,4,False,False,0,,,False,0.6,accept,"The previous A-axis mutation (block take twice + block goto once) had zero effect: SR stayed 1.00 and blocked_steps=2 in every rollout, meaning the Policy simply retried and recovered without any meas"
H,18,4ae3d711,O,filter_observation,False,,0,False,False,,False,False,admissible_commands | admissible_commands,2,True,False,0,,8 8,True,0.4,accept,"Baseline SR is 0.00 with the policy wasting steps (picking an apple, going to microwave, closing/opening, then finally moving to fridge)"
H,20,0780497d,T+O,modify_transition|filter_observation,False,,0,False,True,0.12 13 7919,True,True,"_seeded | You notice the room is slightly colder than usual.

",2,False,False,0,,0.12 0.08 13 7919,True,1.0,reject,"Baseline SR is 1.00 with ~23 steps, and the trajectory shows the Policy repeatedly issuing ineffective commands (""Nothing happens"" at steps 12-15) yet still recovering"
H,20,cbb27a3c,T,modify_transition,False,,0,False,False,0 3 1,True,True,,0,False,False,0,,3,True,1.0,reject,Baseline SR is 1.00 with ~24 steps and the trajectory shows the Policy wasting many steps on 'Nothing happens' (ineffective actions) before recovering
H,20,c2836a3d,T,modify_transition,False,,0,False,False,3 5,True,True,,0,False,False,0,,3 5,True,0.8,accept,"Baseline SR is 1.00 with ~23 steps and the Policy already exhibits a notable failure-recovery pattern: it repeatedly issues ""Nothing happens"" commands (steps 12-15) before recovering"
H,21,a1a4348a,T,modify_transition,False,,0,False,False,,False,True,,0,False,False,0,,,False,0.0,reject,The baseline Policy fails (0/5) but the recent accepted candidate c2836a3d shows success_rate=0.80 — too easy by 0.20
H,21,c86690ea,T,modify_transition,False,,0,False,False,,False,True,,0,False,False,0,,,False,0.2,reject,"The baseline Policy is stuck in a loop (pick up pen 2 / move pen 2 repeatedly) and never achieves the goal, so the task is already hard for it"
