task_id,split,instruction_type,answer_position,parse_ok,parse_detail,n_cells,h,n_formula,recalc_ok,recalc_detail,W_a_pass,W_a_reason,W_pass,sub_gvg,sub_recalc_vs_raw,sub_recalc_vs_raw_reason,load_error
130-9,excluded,Sheet-Level Manipulation,"'b2b, sez, de'!A5:V10",False,ValueError: b2b is not a valid coordinate or range,0,0,0,True,ok,False,answer_position_parse_error,False,answer_position_parse_error,FAIL,answer_position_parse_error,ValueError: b2b is not a valid coordinate or range
283-32,excluded,Sheet-Level Manipulation,"Sheet3'!A:G,'Sheet4'!A:G",False,TypeError: unsupported operand type(s) for -: 'NoneType' and 'NoneType',0,16,0,True,ok,False,answer_position_parse_error,False,answer_position_parse_error,FAIL,answer_position_parse_error,
60-7,excluded,Sheet-Level Manipulation,"Consolidated Tracker,Existing Task,Additions,Retired!A3:E11",False,ValueError: Consolidated Tracker is not a valid coordinate or range,0,0,0,True,ok,False,answer_position_parse_error,False,answer_position_parse_error,FAIL,answer_position_parse_error,ValueError: Consolidated Tracker is not a valid coordinate or range
73-45,excluded,Sheet-Level Manipulation,'Sheet1'!BD2:308,False,ValueError: BD2:308 is not a valid coordinate or range,0,0,0,True,ok,True,pass,False,answer_position_parse_error,FAIL,answer_position_parse_error,ValueError: BD2:308 is not a valid coordinate or range
10747,pool,Cell-Level Manipulation,K6,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
120-24,pool,Sheet-Level Manipulation,'Sheet1'!BN2:BN45,True,,44,33,0,True,ok,True,pass,True,pass,PASS,pass,
147-48,pool,Sheet-Level Manipulation,'Sheet1'!C1:K6,True,,54,36,0,True,ok,True,pass,True,pass,PASS,pass,
15387,pool,Cell-Level Manipulation,A13:A14,True,,2,0,0,True,ok,True,pass,True,pass,PASS,pass,
177-6,pool,Sheet-Level Manipulation,'combined'!A1:R8,True,,144,13,0,True,ok,True,pass,True,pass,PASS,pass,
183-8,pool,Sheet-Level Manipulation,'Sheet1'!I3:L7,True,,20,0,5,True,ok,True,pass,True,pass,PASS,pass,
18645,pool,Cell-Level Manipulation,'Opportunities'!G2:G3,True,,2,0,2,True,ok,True,pass,True,pass,PASS,pass,
188-39,pool,Sheet-Level Manipulation,'result'!B2:D12,True,,33,0,0,True,ok,True,pass,True,pass,PASS,pass,
18935,pool,Cell-Level Manipulation,D17:D22,True,,6,0,0,True,ok,True,pass,True,pass,PASS,pass,
191-40,pool,Sheet-Level Manipulation,'Sheet1'!A1:H85,True,,680,64,154,True,ok,True,pass,True,pass,PASS,pass,
